Date,User,Url,Tweet,likeCount,retweetCount,hashtags,positive,negative,neutral
2023-02-12 10:29:26+00:00,Falguni43094107,https://twitter.com/Falguni43094107/status/1624717308454404097,"@AshramBlr Very rare #SayNoToValentines
 say yes to
Parents Worship Day
Because the blessings that emanate from the hearts of the parents by worshiping them, our children touch the heights.
Vikaron Ke Andhkar Se Survive.
Let's go to Sanyam Ke Prakash Ki Aur and make others go. https://t.co/3fLIHOQjUX",0,0,['SayNoToValentines'],0.195,0.0,0.805
2023-02-12 10:29:16+00:00,BalakNadan,https://twitter.com/BalakNadan/status/1624717265437626369,Singles! #SayNoToValentines https://t.co/vjVwP4U7eI,0,0,['SayNoToValentines'],0.0,0.0,1.0
2023-02-12 10:28:53+00:00,Upendra80110652,https://twitter.com/Upendra80110652/status/1624717167798398977,"@Balsanskarsewa Come let's celebrate mother father worship day
Take your life and world to the next level #SayNoToValentines",0,0,['SayNoToValentines'],0.269,0.0,0.731
2023-02-12 10:28:35+00:00,PoonaGehlot,https://twitter.com/PoonaGehlot/status/1624717095002071040,"Mother-Father Worship Day is being celebrated across the country on 14 February. Special programs are being organized for this in schools and colleges. Let us make it a success.
#SayNoToValentines
Save youth and culture
https://t.co/sRus8EjaT2 ramji #SayNoToValentines",0,0,"['SayNoToValentines', 'SayNoToValentines']",0.333,0.0,0.667
2023-02-12 10:28:35+00:00,deepakmidha84,https://twitter.com/deepakmidha84/status/1624717094058336256,"Instead of celebrating Valentine's Day, I have called for celebrating ""Mother-Father Worship Day"".  - Respected Bapuji
DKM....
#SayNoToValentines
Save youth and culture
https://t.co/8Xq8CmFRVi",0,0,['SayNoToValentines'],0.498,0.0,0.502
2023-02-12 10:28:35+00:00,deepak_midha,https://twitter.com/deepak_midha/status/1624717094028996609,"Instead of celebrating Valentine's Day, I have called for celebrating ""Mother-Father Worship Day"".  - Respected Bapuji
DPK....
#SayNoToValentines
Save youth and culture
https://t.co/5vJvnQLZr8",0,0,['SayNoToValentines'],0.498,0.0,0.502
2023-02-12 10:28:33+00:00,Falguni43094107,https://twitter.com/Falguni43094107/status/1624717085611024385,"@AshramGaushala @asharamjibapu_ @AshramKolkata @AshramBlr @AshramJodhpur @AshramRajkot @AshramGzb @ashramgoregaon @AshramGnanagar @Asharamjiashram #SayNoToValentines
 say yes to
Parents Worship Day
Because the blessings that emanate from the hearts of the parents by worshiping them, our children touch the heights.
Vikaron Ke Andhkar Se Survive.
Let's go to Sanyam Ke Prakash Ki Aur and make others go. https://t.co/L6G9oTAyQW",0,0,['SayNoToValentines'],0.172,0.0,0.828
2023-02-12 10:28:33+00:00,PoojaAR33556625,https://twitter.com/PoojaAR33556625/status/1624717084910583808,"Instead of celebrating Valentine's Day, I have called for celebrating ""Mother-Father Worship Day"".  - Respected Bapuji
PJA......
#SayNoToValentines
Save youth and culture
https://t.co/cvfBGg3ztD",0,0,['SayNoToValentines'],0.498,0.0,0.502
2023-02-12 10:28:18+00:00,ManishG47155715,https://twitter.com/ManishG47155715/status/1624717021224267778,"The media / greeting card makers spread it for financial gain. This gives encouragement to one day nationalization and religious conversion of Hindus. Sanatanis understand this.
#SayNoToValentines
Jai Shri Ram
Save youth and culture
https://t.co/ydpkQ6MLPR",0,1,['SayNoToValentines'],0.286,0.0,0.714
2023-02-12 10:27:57+00:00,Falguni43094107,https://twitter.com/Falguni43094107/status/1624716932644753408,"@Balsanskarsewa #SayNoToValentines
 say yes to
Parents Worship Day
Because the blessings that emanate from the hearts of the parents by worshiping them, our children touch the heights.
Vikaron Ke Andhkar Se Survive.
Let's go to Sanyam Ke Prakash Ki Aur and make others go. https://t.co/czfk7OhdMc",0,1,['SayNoToValentines'],0.202,0.0,0.798
2023-02-12 10:27:22+00:00,ManishG47155715,https://twitter.com/ManishG47155715/status/1624716788620754945,"You are requested not to do obscene acts in the name of love.
#SayNoToValentines
Jai Shri Ram
Save youth and culture
https://t.co/DGLkM27x3b",0,1,['SayNoToValentines'],0.355,0.0,0.645
2023-02-12 10:26:57+00:00,Royal_Atul_Rana,https://twitter.com/Royal_Atul_Rana/status/1624716682873946113,"@MahantBalaknath #Valentine_Day is not according to our culture, it is harmful.
Impressed by the things shown in TV-Cinema media, it is not wise to copy them.|||||
#SayNoToValentines
Save youth and culture
#RecordInvestmentInUP",0,2,"['वेलेंटाइन_डे', 'SayNoToValentines', 'RecordInvestmentInUP']",0.166,0.067,0.766
